ds,yhat,yhat_lower,yhat_upper,production_type
2021-01-01,9.53486278886808,8.539977886126364,10.571028410419075,Geothermal
2021-02-01,9.27537017611364,8.193869218488473,10.222142575905183,Geothermal
2021-03-01,8.997882422968502,7.974064737392899,10.012885326005232,Geothermal
2021-04-01,8.882720483078387,7.888338010632545,9.872787502574894,Geothermal
2021-05-01,8.843762451530662,7.817366523808381,9.837831613680732,Geothermal
2021-06-01,8.867169191832144,7.854034330858951,9.838033688076564,Geothermal
2021-07-01,8.835691045486815,7.8476006840392705,9.827481720838962,Geothermal
2021-08-01,9.01445909704253,8.017612576692047,10.049743591029772,Geothermal
2021-09-01,9.44643340392845,8.385879567489782,10.491554181108182,Geothermal
2021-10-01,9.377376817697868,8.388901811147377,10.436207737120121,Geothermal
2021-11-01,9.53364986834749,8.612687093615904,10.630028891959839,Geothermal
2021-12-01,9.32877850068778,8.326422012723604,10.353681262631437,Geothermal
2022-01-01,9.54530416389781,8.501584407189297,10.573259688799794,Geothermal
2022-02-01,9.624247929273032,8.680373116401963,10.681132018466105,Geothermal
2022-03-01,9.26384277693221,8.28644372776926,10.213190496863895,Geothermal
2022-04-01,8.900493630568775,7.889063458211889,9.88622661561683,Geothermal
2022-05-01,8.756530596693336,7.810527539543447,9.758096421730723,Geothermal
2022-06-01,8.935179279169349,7.8952250685147165,9.975965115646146,Geothermal
2022-07-01,8.881497462218766,7.901401273979595,9.933986206600181,Geothermal
2022-08-01,9.060369360156287,7.998045743514872,9.974478698908955,Geothermal
2022-09-01,9.410742344347172,8.403368130303981,10.369874914690905,Geothermal
2022-10-01,9.26535591171893,8.25295518935355,10.27501194388984,Geothermal
2022-11-01,9.339228122297278,8.33625313672719,10.31147157462672,Geothermal
2022-12-01,9.2030242997669,8.18245916832734,10.204433840434454,Geothermal
2023-01-01,9.317944122465853,8.334364583565609,10.229305645249722,Geothermal
2023-02-01,9.109475781367355,8.093831116779217,10.188729336917914,Geothermal
2023-03-01,9.000137582079018,7.953379120787959,10.011561047506865,Geothermal
2023-04-01,9.11478020608865,8.07097186316043,10.06401601221381,Geothermal
2023-05-01,8.691155440052228,7.666673427174141,9.732617002876443,Geothermal
2023-06-01,8.840670418373481,7.839388477763114,9.847543440119711,Geothermal
2023-07-01,8.795305687170163,7.8140022171936145,9.890193351455606,Geothermal
2023-08-01,9.098510888986652,8.09719743557866,10.155540260257286,Geothermal
2023-09-01,9.301486176672883,8.287359011063156,10.367407911507591,Geothermal
2023-10-01,9.442571824386093,8.376760314627978,10.50717460157835,Geothermal
2023-11-01,9.538571729881962,8.61849926816003,10.537651618266384,Geothermal
2023-12-01,9.321912595275455,8.32607740751516,10.248820925260366,Geothermal
2024-01-01,9.5620141281068,8.626899045064036,10.523855177018389,Geothermal
2024-02-01,8.862831690320068,7.912508023061959,9.874912540158194,Geothermal
2024-03-01,9.055733298656508,7.991790562804787,10.086209199908014,Geothermal
2024-04-01,9.210250268317711,8.22404309224155,10.229754003353973,Geothermal
2024-05-01,8.800206938679665,7.839092181202759,9.83590199055168,Geothermal
2024-06-01,8.806135851133698,7.777423527532182,9.832785740094646,Geothermal
2024-07-01,9.026783764568878,7.956797362824288,10.034170884530749,Geothermal
2024-08-01,9.073549165407757,8.116270885599448,10.127022443862886,Geothermal
2024-09-01,9.224387606180345,8.190648617141452,10.225837322332962,Geothermal
2024-10-01,9.436875816639574,8.432365487047656,10.408897035795071,Geothermal
2024-11-01,9.497474493466443,8.514844048607246,10.564586660779236,Geothermal
2024-12-01,9.381998121661745,8.324119636118096,10.414788902836504,Geothermal
2025-01-01,9.613113823445188,8.595150775273426,10.610033331878428,Geothermal
