country,month,avg_temp_c,precip_mm,wind_kmh
France,2018-02,1.5714285714285716,61.5,20.196428571428573
France,2018-03,7.0919354838709685,93.6,21.406451612903226
France,2018-04,12.83,70.4,19.206666666666667
France,2018-05,15.727419354838709,48.400000000000006,17.522580645161288
France,2018-06,18.695,101.69999999999999,16.053333333333335
France,2018-07,22.79032258064516,21.900000000000002,14.880645161290321
France,2018-08,20.870967741935484,46.800000000000004,17.44193548387097
France,2018-09,17.305,27.099999999999998,17.39
France,2018-10,14.07258064516129,31.200000000000003,18.848387096774196
France,2018-11,8.111666666666666,80.10000000000001,18.396666666666665
France,2018-12,6.801612903225807,78.7,21.61290322580645
France,2019-01,3.8145161290322585,54.900000000000006,19.532258064516128
France,2019-02,6.958928571428571,28.1,18.214285714285715
France,2019-03,9.151612903225805,56.49999999999999,24.225806451612904
