ds,yhat,yhat_lower,yhat_upper
2013-05-01,33343.677009528736,31490.721333213292,35363.538160703014
2013-06-01,31622.926361491125,29563.450645439243,33651.081608566405
2013-07-01,32868.15219602943,30771.37305444245,35040.54656712864
2013-08-01,30882.93085752299,28684.982361376067,32868.01471022361
2013-09-01,31817.58742016353,29626.94205816789,33899.11888989754
2013-10-01,35568.298573606655,33608.06321091865,37668.71913668224
2013-11-01,40605.35023886358,38493.55278160129,42680.362560578054
2013-12-01,46341.20704262823,44248.482176769736,48377.965977611806
2014-01-01,49160.25228500609,47017.90403413232,51207.93898050544
2014-02-01,43257.50805839125,41319.97206756981,45410.61546992371
2014-03-01,42579.17951625434,40583.23660836021,44706.016402383466
2014-04-01,35217.46736391891,33058.695102946476,37308.35373123205
2014-05-01,33016.711221832666,30892.22450094086,35084.22876571723
2014-06-01,31340.981009541872,29438.62347253114,33442.46769476238
2014-07-01,32609.72425256286,30665.74363534735,34789.61066954988
2014-08-01,30596.910055758275,28492.772079040587,32775.420919008226
2014-09-01,31807.331252186726,29723.004318904357,33946.653652253386
2014-10-01,35375.987551795224,33180.716887764305,37410.00538658747
2014-11-01,40525.16192818359,38578.284810814795,42713.069102369525
2014-12-01,45927.00585032873,43897.90061434808,47921.263939012
2015-01-01,48388.90991388921,46386.94244548952,50472.42522916562
2015-02-01,43648.26259621575,41501.47162921684,45789.71616743871
2015-03-01,42799.38023118383,40571.92239055427,44862.834932764556
2015-04-01,34840.04324135813,32739.68517445191,36991.80124561264
2015-05-01,32866.789738392705,30796.447409866647,34970.041350240564
2015-06-01,31226.276902361482,29165.769446397517,33242.76869701301
2015-07-01,32507.710865881465,30335.47514148056,34476.31065750825
2015-08-01,30460.648819640322,28312.673375957027,32523.093576274245
2015-09-01,31933.720272498453,29814.358700774792,34115.98958342344
2015-10-01,35305.02652306601,33159.3332049689,37426.85660067746
2015-11-01,40552.11870098077,38496.132304760926,42626.88972032786
2015-12-01,45602.69289765522,43329.788061647916,47728.779912419464
2016-01-01,47710.07213140907,45543.64403581338,49780.26946156613
2016-02-01,44119.6244678041,41990.796514976864,46331.47506208614
2016-03-01,41673.81952841596,39576.545372208784,43652.8697914615
2016-04-01,35567.42596347327,33476.024036598545,37562.23437374211
2016-05-01,32986.5030707427,30869.77817935904,35119.076066531394
2016-06-01,31251.687364577985,29341.588767427365,33313.77398947083
2016-07-01,32501.94886465872,30367.332834454683,34533.05228783576
2016-08-01,30578.357786092787,28583.93978260414,32780.65649193898
2016-09-01,31265.077716214077,29113.21310038068,33463.9663624658
2016-10-01,35221.77454135786,33104.37623221385,37404.173183485465
2016-11-01,40173.119665641636,38131.182797055924,42139.18008731733
2016-12-01,46272.49801489926,44144.89384202738,48367.87626347474
2017-01-01,49499.90519016437,47376.022165470946,51522.87853293861
2017-02-01,42473.184219044175,40311.00919803569,44615.702810811825
2017-03-01,41967.60270761738,39892.43865851914,44139.22437333556
2017-04-01,35240.06275316701,33067.4314608112,37317.707932636054
2017-05-01,32852.46287852166,30723.178662687587,35003.22972206512
2017-06-01,31148.391899110902,29182.418695599536,33339.194085462965
2017-07-01,32409.759348451378,30266.34192274519,34457.49573551033
2017-08-01,30441.217678569323,28243.89399394374,32552.098754828865
2017-09-01,31392.55390983577,29366.82474523566,33278.240204614085
2017-10-01,35159.40667807698,33065.837103732716,37277.051755114204
2017-11-01,40202.70715097849,38057.27182022719,42298.175528597836
2017-12-01,45944.20727672381,43879.99888495141,48040.14209787324
2018-01-01,48769.0839518205,46775.88049567375,50886.15818852272
2018-02-01,42872.17115791141,40767.740534259785,44922.715168473034
2018-03-01,42199.109716295396,40160.911533534534,44394.44685118392
2018-04-01,34843.22899667391,32828.80368258286,36858.484685413234
2018-05-01,32630.02919698452,30430.044736530523,34785.39297660543
2018-06-01,30928.306740879012,28888.828280778544,32918.28985857251
2018-07-01,32171.896199563475,30017.38539519405,34354.531252373214
2018-08-01,30133.089758946724,28015.53347699897,32212.349640129087
2018-09-01,31317.518711561595,29426.60070319961,33427.99546547176
2018-10-01,34861.02122683347,32926.31314923779,36923.11920882442
2018-11-01,39984.184322692,37867.08124961032,42025.89366716711
2018-12-01,45357.80307684408,43264.79105117509,47391.29639913518
2019-01-01,47790.541133476465,45616.6386681502,49750.48736499219
2019-02-01,43020.72780887954,40812.75364184552,45159.80019355947
2019-03-01,42145.501953720894,40009.791372209926,44212.54708357192
2019-04-01,34156.99891029899,32043.803753268658,36247.669567125195
2019-05-01,32155.52019417301,30133.534642481223,34304.91779161065
2019-06-01,30485.84130399205,28421.639899218608,32631.364448235112
2019-07-01,31739.050053820025,29704.635197643274,33806.62851121758
2019-08-01,29662.821953428378,27510.755438338023,31724.15407976102
2019-09-01,31106.72735213973,29014.052278155814,33188.78050083195
2019-10-01,34449.808384102034,32397.470795547928,36468.57171245327
2019-11-01,39667.73450279238,37542.86268757654,41846.959691563534
2019-12-01,44690.0834791976,42503.67061657034,46879.28946025829
