Country,Time,Balance,Product,Value,Unit
Germany,24-Dec,Net Electricity Production,Geothermal,14.9462,GWh
Germany,24-Dec,Net Electricity Production,Other Combustible Non-Renewables,418.0679,GWh
Germany,24-Dec,Net Electricity Production,Solar,1283.7326,GWh
Germany,24-Dec,Net Electricity Production,Not Specified,145.8112,GWh
Germany,24-Dec,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",22652.5993,GWh
Germany,24-Dec,Total Imports,Electricity,6272.6314,GWh
Germany,24-Dec,Total Exports,Electricity,6445.2339,GWh
Germany,24-Dec,Used for pumped storage,Electricity,818.9145,GWh
Germany,24-Dec,Distribution Losses,Electricity,2488.1477,GWh
Germany,24-Dec,Final Consumption (Calculated),Electricity,39268.6677,GWh
Germany,24-Dec,Net Electricity Production,Wind,15408.7563,GWh
France,24-Nov,Net Electricity Production,Electricity,46880.0523,GWh
France,24-Nov,Net Electricity Production,Nuclear,33031.7616,GWh
France,24-Nov,Net Electricity Production,Hydro,5386.908,GWh
France,24-Nov,Net Electricity Production,Total Combustible Fuels,3189.9007,GWh
France,24-Nov,Net Electricity Production,Natural Gas,2501.1009,GWh
France,24-Nov,Net Electricity Production,Combustible Renewables,511.9223,GWh
France,24-Nov,Net Electricity Production,Other Combustible Non-Renewables,176.8775,GWh
France,24-Nov,Net Electricity Production,Geothermal,9.6698,GWh
France,24-Nov,Net Electricity Production,Solar,1147.3353,GWh
France,24-Nov,Net Electricity Production,Other Renewables,36.9812,GWh
France,24-Nov,Net Electricity Production,Not Specified,116.4198,GWh
France,24-Nov,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",11053.8926,GWh
France,24-Nov,Total Imports,Electricity,851.6966,GWh
France,24-Nov,Total Exports,Electricity,8372.4768,GWh
France,24-Nov,Used for pumped storage,Electricity,583.3381,GWh
France,24-Nov,Distribution Losses,Electricity,3657.0059,GWh
France,24-Nov,Final Consumption (Calculated),Electricity,35118.9281,GWh
France,24-Nov,Net Electricity Production,Wind,3961.076,GWh
Germany,24-Nov,Net Electricity Production,Electricity,41083.5126,GWh
Germany,24-Nov,Net Electricity Production,Hydro,1857.2585,GWh
Germany,24-Nov,Net Electricity Production,Total Combustible Fuels,25295.6818,GWh
Germany,24-Nov,Net Electricity Production,"Coal, Peat and Manufactured Gases",12011.5844,GWh
Germany,24-Nov,Net Electricity Production,Oil and Petroleum Products,461.1966,GWh
Germany,24-Nov,Net Electricity Production,Natural Gas,8786.4676,GWh
Germany,24-Nov,Net Electricity Production,Combustible Renewables,3563.4482,GWh
Germany,24-Nov,Net Electricity Production,Geothermal,13.4516,GWh
Germany,24-Nov,Net Electricity Production,Other Combustible Non-Renewables,472.9851,GWh
Germany,24-Nov,Net Electricity Production,Solar,1874.753,GWh
Germany,24-Nov,Net Electricity Production,Not Specified,138.327,GWh
Germany,24-Nov,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",19212.952,GWh
Germany,24-Nov,Total Imports,Electricity,6669.4483,GWh
Germany,24-Nov,Total Exports,Electricity,5407.822,GWh
Germany,24-Nov,Used for pumped storage,Electricity,698.5573,GWh
Germany,24-Nov,Distribution Losses,Electricity,2331.2969,GWh
Germany,24-Nov,Final Consumption (Calculated),Electricity,39315.2847,GWh
Germany,24-Nov,Net Electricity Production,Wind,11904.0407,GWh
France,24-Oct,Net Electricity Production,Electricity,43060.9835,GWh
France,24-Oct,Net Electricity Production,Nuclear,29963.8157,GWh
France,24-Oct,Net Electricity Production,Total Combustible Fuels,1435.6774,GWh
France,24-Oct,Net Electricity Production,Hydro,6665.5862,GWh
France,24-Oct,Net Electricity Production,Natural Gas,732.6806,GWh
France,24-Oct,Net Electricity Production,Combustible Renewables,526.1193,GWh
France,24-Oct,Net Electricity Production,Geothermal,9.6698,GWh
France,24-Oct,Net Electricity Production,Other Combustible Non-Renewables,176.8775,GWh
France,24-Oct,Net Electricity Production,Solar,1601.1492,GWh
France,24-Oct,Net Electricity Production,Other Renewables,36.9812,GWh
France,24-Oct,Net Electricity Production,Not Specified,116.4198,GWh
France,24-Oct,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",12071.19,GWh
France,24-Oct,Total Imports,Electricity,736.0615,GWh
France,24-Oct,Total Exports,Electricity,8928.1229,GWh
France,24-Oct,Used for pumped storage,Electricity,661.4259,GWh
France,24-Oct,Distribution Losses,Electricity,2956.8974,GWh
France,24-Oct,Final Consumption (Calculated),Electricity,31250.5988,GWh
France,24-Oct,Net Electricity Production,Wind,3231.6842,GWh
Germany,24-Oct,Net Electricity Production,Electricity,38057.4259,GWh
Germany,24-Oct,Net Electricity Production,Total Combustible Fuels,21076.541,GWh
Germany,24-Oct,Net Electricity Production,Hydro,2485.2122,GWh
Germany,24-Oct,Net Electricity Production,"Coal, Peat and Manufactured Gases",10707.2101,GWh
Germany,24-Oct,Net Electricity Production,Oil and Petroleum Products,476.2989,GWh
Germany,24-Oct,Net Electricity Production,Natural Gas,5832.1408,GWh
Germany,24-Oct,Net Electricity Production,Combustible Renewables,3579.7785,GWh
Germany,24-Oct,Net Electricity Production,Other Combustible Non-Renewables,481.1127,GWh
Germany,24-Oct,Net Electricity Production,Geothermal,13.4516,GWh
Germany,24-Oct,Net Electricity Production,Solar,4086.8005,GWh
Germany,24-Oct,Net Electricity Production,Not Specified,103.9435,GWh
Germany,24-Oct,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",20456.7199,GWh
Germany,24-Oct,Total Imports,Electricity,7694.6242,GWh
Germany,24-Oct,Total Exports,Electricity,4102.8214,GWh
Germany,24-Oct,Used for pumped storage,Electricity,701.6894,GWh
Germany,24-Oct,Distribution Losses,Electricity,2049.1382,GWh
Germany,24-Oct,Final Consumption (Calculated),Electricity,38898.4011,GWh
Germany,24-Oct,Net Electricity Production,Wind,10291.4771,GWh
France,24-Sep,Net Electricity Production,Electricity,39379.4177,GWh
France,24-Sep,Net Electricity Production,Nuclear,27448.505,GWh
France,24-Sep,Net Electricity Production,Total Combustible Fuels,1458.4679,GWh
France,24-Sep,Net Electricity Production,Hydro,4109.9652,GWh
France,24-Sep,Net Electricity Production,Natural Gas,756.9874,GWh
France,24-Sep,Net Electricity Production,Combustible Renewables,524.603,GWh
France,24-Sep,Net Electricity Production,Other Combustible Non-Renewables,176.8775,GWh
France,24-Sep,Net Electricity Production,Geothermal,9.6698,GWh
France,24-Sep,Net Electricity Production,Solar,2240.6028,GWh
France,24-Sep,Net Electricity Production,Other Renewables,36.9812,GWh
France,24-Sep,Net Electricity Production,Not Specified,116.4198,GWh
France,24-Sep,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",10880.6281,GWh
France,24-Sep,Total Imports,Electricity,659.175,GWh
France,24-Sep,Total Exports,Electricity,8518.7624,GWh
France,24-Sep,Used for pumped storage,Electricity,622.5369,GWh
France,24-Sep,Distribution Losses,Electricity,2497.209,GWh
France,24-Sep,Final Consumption (Calculated),Electricity,28400.0844,GWh
France,24-Sep,Net Electricity Production,Wind,3958.8061,GWh
Germany,24-Sep,Net Electricity Production,Electricity,36725.5245,GWh
Germany,24-Sep,Net Electricity Production,Total Combustible Fuels,16681.4385,GWh
Germany,24-Sep,Net Electricity Production,Hydro,2339.8572,GWh
Germany,24-Sep,Net Electricity Production,"Coal, Peat and Manufactured Gases",7830.8584,GWh
Germany,24-Sep,Net Electricity Production,Oil and Petroleum Products,446.2092,GWh
Germany,24-Sep,Net Electricity Production,Natural Gas,4718.3905,GWh
Germany,24-Sep,Net Electricity Production,Combustible Renewables,3235.4803,GWh
Germany,24-Sep,Net Electricity Production,Other Combustible Non-Renewables,450.5002,GWh
Germany,24-Sep,Net Electricity Production,Geothermal,11.2097,GWh
Germany,24-Sep,Net Electricity Production,Solar,7154.6697,GWh
Germany,24-Sep,Net Electricity Production,Not Specified,83.2539,GWh
Germany,24-Sep,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",23196.3124,GWh
Germany,24-Sep,Total Imports,Electricity,6833.8362,GWh
Germany,24-Sep,Total Exports,Electricity,4105.5323,GWh
Germany,24-Sep,Used for pumped storage,Electricity,901.7908,GWh
Germany,24-Sep,Distribution Losses,Electricity,1812.0172,GWh
Germany,24-Sep,Final Consumption (Calculated),Electricity,36740.0203,GWh
Germany,24-Sep,Net Electricity Production,Wind,10455.0955,GWh
France,24-Aug,Net Electricity Production,Electricity,39941.4855,GWh
France,24-Aug,Net Electricity Production,Nuclear,28599.4823,GWh
France,24-Aug,Net Electricity Production,Hydro,4367.5235,GWh
France,24-Aug,Net Electricity Production,Total Combustible Fuels,1629.9669,GWh
France,24-Aug,Net Electricity Production,Natural Gas,796.5401,GWh
France,24-Aug,Net Electricity Production,Combustible Renewables,656.5493,GWh
France,24-Aug,Net Electricity Production,Geothermal,9.6698,GWh
France,24-Aug,Net Electricity Production,Other Combustible Non-Renewables,176.8775,GWh
France,24-Aug,Net Electricity Production,Solar,3116.529,GWh
France,24-Aug,Net Electricity Production,Other Renewables,36.9812,GWh
France,24-Aug,Net Electricity Production,Not Specified,116.4198,GWh
France,24-Aug,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",10252.1658,GWh
France,24-Aug,Total Imports,Electricity,1017.0369,GWh
France,24-Aug,Total Exports,Electricity,9199.4295,GWh
France,24-Aug,Used for pumped storage,Electricity,700.3692,GWh
France,24-Aug,Distribution Losses,Electricity,2446.4043,GWh
France,24-Aug,Final Consumption (Calculated),Electricity,28612.3193,GWh
France,24-Aug,Net Electricity Production,Wind,2064.9131,GWh
Germany,24-Aug,Net Electricity Production,Electricity,36165.5497,GWh
Germany,24-Aug,Net Electricity Production,Hydro,2368.8938,GWh
Germany,24-Aug,Net Electricity Production,Total Combustible Fuels,17008.2055,GWh
Germany,24-Aug,Net Electricity Production,"Coal, Peat and Manufactured Gases",7724.9011,GWh
Germany,24-Aug,Net Electricity Production,Oil and Petroleum Products,467.2188,GWh
Germany,24-Aug,Net Electricity Production,Natural Gas,4872.6363,GWh
Germany,24-Aug,Net Electricity Production,Combustible Renewables,3407.165,GWh
Germany,24-Aug,Net Electricity Production,Other Combustible Non-Renewables,536.2843,GWh
Germany,24-Aug,Net Electricity Production,Geothermal,8.9677,GWh
Germany,24-Aug,Net Electricity Production,Solar,10219.5183,GWh
Germany,24-Aug,Net Electricity Production,Not Specified,117.8417,GWh
Germany,24-Aug,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",22446.6676,GWh
Germany,24-Aug,Total Imports,Electricity,8305.473,GWh
Germany,24-Aug,Total Exports,Electricity,3893.752,GWh
Germany,24-Aug,Used for pumped storage,Electricity,916.7243,GWh
Germany,24-Aug,Distribution Losses,Electricity,1739.1869,GWh
Germany,24-Aug,Final Consumption (Calculated),Electricity,37921.3594,GWh
Germany,24-Aug,Net Electricity Production,Wind,6442.1227,GWh
France,24-Jul,Net Electricity Production,Electricity,41650.6853,GWh
France,24-Jul,Net Electricity Production,Nuclear,28582.3393,GWh
France,24-Jul,Net Electricity Production,Hydro,6079.0366,GWh
France,24-Jul,Net Electricity Production,Total Combustible Fuels,1651.1645,GWh
France,24-Jul,Net Electricity Production,Natural Gas,723.4251,GWh
France,24-Jul,Net Electricity Production,Combustible Renewables,750.8619,GWh
France,24-Jul,Net Electricity Production,Other Combustible Non-Renewables,176.8775,GWh
France,24-Jul,Net Electricity Production,Geothermal,9.6698,GWh
France,24-Jul,Net Electricity Production,Solar,3119.6605,GWh
France,24-Jul,Net Electricity Production,Other Renewables,36.9812,GWh
